code,name,industry
sz.301236,软通动力,I65软件和信息技术服务业
sz.301252,同星科技,C34通用设备制造业
sz.301306,西测测试,M74专业技术服务业
sz.301308,江波龙,C39计算机、通信和其他电子设备制造业
sz.301319,唯特偶,C39计算机、通信和其他电子设备制造业
sz.301392,汇成真空,C34通用设备制造业
sz.301486,致尚科技,C39计算机、通信和其他电子设备制造业
sz.301499,维科精密,C36汽车制造业
sz.301511,德福科技,C39计算机、通信和其他电子设备制造业
sz.301662,宏工科技,C35专用设备制造业
